REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Individuals_affected,Families_affected,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause+date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +individual +num,#affected +family +num,#damaged+houses+num,#destroyed+houses+num
Western,31,Farah,3101,Farah,11/03/2016,Flood / flash flood,18,9,996,150,88,32
Western,30,Hirat,3003,Kushk,11/03/2016,Flood / flash flood,0,0,169,21,21,0
Western,30,Hirat,3002,Injil,16/04/2016,Flood / flash flood,1,0,404,54,23,31
Western,30,Hirat,3005,Guzara,16/04/2016,Flood / flash flood,0,0,20,3,3,0
Western,30,Hirat,3005,Guzara,17/04/2016,Flood / flash flood,0,0,7,1,0,0
Western,30,Hirat,3007,Karukh,16/04/2016,Flood / flash flood,0,0,38,6,0,6
Western,30,Hirat,3006,Pashtunzarghun,17/03/2016,Flood / flash flood,0,0,82,10,10,0
Western,30,Hirat,3006,Pashtunzarghun,02/04/2016,Flood / flash flood,1,0,21,4,0,4
Western,29,Badghis,2903,Abkamari,16/04/2016,Flood / flash flood,4,0,0,0,0,0
Western,29,Badghis,2901,Qala-e-Naw,16/04/2016,Flood / flash flood,0,0,13,2,2,0
Western,29,Badghis,2902,Muqur,16/04/2016,Flood / flash flood,12,2,0,0,0,0
Western,29,Badghis,2905,Jawand,16/04/2016,Flood / flash flood,1,1,0,0,0,0
Southern,32,Hilmand,3203,Nad-e-Ali,17/03/2016,Flood / flash flood,0,0,537,72,70,2
Southern,32,Hilmand,3204,Nawa-e-Barakzaiy,17/03/2016,Flood / flash flood,0,0,83,11,11,0
Southern,32,Hilmand,3204,Nawa-e-Barakzaiy,04/04/2016,Flood / flash flood,0,0,231,33,33,0
Southern,32,Hilmand,3201,Lashkargah,18/03/2016,Flood / flash flood,0,0,159,21,21,0
Northern,28,Faryab,2803,Pashtunkot,17/04/2016,Flood / flash flood,0,0,250,36,33,3
Northern,28,Faryab,2801,Maymana,16/04/2016,Flood / flash flood,0,0,72,10,10,0
Western,21,Ghor,2103,DoLayna,02/05/2016,Flood / flash flood,0,0,21,2,0,2
Western,21,Ghor,2102,Charsadra,21/04/2016,Landslide / mudflow,0,0,0,0,50,0
Western,21,Ghor,2101,Chaghcharan,19/03/2016,Flood / flash flood,0,0,63,7,6,1
Western,21,Ghor,2101,Chaghcharan,02/04/2016,Flood / flash flood,0,0,23,4,3,1
Western,21,Ghor,2101,Chaghcharan,03/04/2016,Flood / flash flood,0,0,18,3,0,3
Western,21,Ghor,2101,Chaghcharan,04/04/2016,Flood / flash flood,0,0,140,20,20,0
Western,21,Ghor,2101,Chaghcharan,07/04/2016,Flood / flash flood,0,0,20,2,0,2
Western,21,Ghor,2101,Chaghcharan,16/04/2016,Flood / flash flood,0,0,35,5,0,0
Western,21,Ghor,2101,Chaghcharan,02/05/2016,Flood / flash flood,0,0,902,117,79,38
Western,21,Ghor,2101,Chaghcharan,03/05/2016,Flood / flash flood,0,0,165,23,17,6
Western,21,Ghor,2101,Chaghcharan,11/05/2016,Flood / flash flood,0,0,29,3,0,3
Central Highland,22,Daykundi,2208,Kajran,19/03/2016,Flood / flash flood,0,0,4,1,0,1
Central Highland,22,Daykundi,2208,Kajran,25/03/2016,Flood / flash flood,0,0,6,1,0,1
Central Highland,22,Daykundi,2208,Kajran,01/04/2016,Flood / flash flood,0,0,168,26,12,7
Central Highland,22,Daykundi,2204,kiti,01/04/2016,Flood / flash flood,2,0,488,67,42,30
Central Highland,22,Daykundi,2204,kiti,02/04/2016,Flood / flash flood,0,0,32,4,4,0
Central Highland,22,Daykundi,2204,kiti,16/04/2016,Flood / flash flood,0,0,56,8,0,8
Northern,20,Sar-e-Pul,2003,Kohestanat,18/05/2016,Flood / flash flood,21,21,670,95,0,95
Southern,23,Uruzgan,2301,Tirinkot,02/04/2016,Flood / flash flood,4,0,2328,339,290,39
Southern,33,Kandahar,3305,Daman,18/03/2016,Flood / flash flood,0,0,135,20,18,2
Central Highland,22,Daykundi,2203,Khadir,01/04/2016,Flood / flash flood,1,0,24,4,38,3
Central Highland,22,Daykundi,2203,Khadir,17/04/2016,Flood / flash flood,1,0,107,16,0,17
Southern,23,Uruzgan,2302,Chora,02/04/2016,Flood / flash flood,1,0,466,66,64,0
Central Highland,22,Daykundi,2201,Nili,01/04/2016,Flood / flash flood,3,0,107,2,16,1
Central Highland,22,Daykundi,2201,Nili,02/04/2016,Flood / flash flood,0,0,8,2,2,0
Central Highland,22,Daykundi,2201,Nili,04/04/2016,Flood / flash flood,1,0,7,1,0,0
Central Highland,22,Daykundi,2207,Sang-e-Takht,07/03/2016,Flood / flash flood,10,1,19,8,0,5
Central Highland,22,Daykundi,2207,Sang-e-Takht,20/04/2016,Flood / flash flood,1,0,7,1,0,0
Central Highland,22,Daykundi,2202,Ashtarlay,14/04/2016,Flood / flash flood,0,0,7,1,0,1
Central Highland,22,Daykundi,2202,Ashtarlay,15/04/2016,Flood / flash flood,0,0,21,3,0,3
Central Highland,22,Daykundi,2202,Ashtarlay,16/04/2016,Flood / flash flood,0,0,126,18,5,18
Southern,33,Kandahar,3311,Spinboldak,18/03/2016,Flood / flash flood,0,0,230,34,34,0
Northern,20,Sar-e-Pul,2007,Sangcharak,12/05/2016,Flood / flash flood,0,0,49,7,3,4
Northern,20,Sar-e-Pul,2006,Balkhab,15/05/2016,Flood / flash flood,0,0,1108,156,92,64
Central Highland,22,Daykundi,2206,Shahrestan,01/04/2016,Flood / flash flood,0,0,21,4,0,4
