REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Individuals_affected,Families_affected,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +individual +num,#affected +family +num,#damaged+houses+num,#destroyed+houses+num
Eastern,13,Kunar,1303,Narang,2017-01-04,Flood / flash flood,0,0,7,1,1,0
Eastern,13,Kunar,1305,Marawara,2017-01-04,Flood / flash flood,0,0,10,1,1,0
Eastern,13,Kunar,1314,Nurgal,2017-01-04,Flood / flash flood,0,0,28,4,3,1
Eastern,13,Kunar,1301,Asadabad,2017-01-04,Flood / flash flood,0,0,56,8,7,1
Eastern,13,Kunar,1304,Sarkani,2017-01-04,Flood / flash flood,0,0,7,1,0,1
Southern,32,Hilmand,3201,Lashkargah,2017-01-14,Flood / flash flood,0,0,77,8,5,3
Southern,33,Kandahar,3301,Kandahar,2017-01-14,Flood / flash flood,0,0,28,3,3,0
Western,31,Farah,3101,Farah,2017-01-15,Flood / flash flood,0,0,119,19,9,0
Western,31,Farah,3104,khak-e-Safed,2017-01-16,Flood / flash flood,0,0,0,0,0,0
Central Highland,10,Bamyan,1003,Yakawlang,2017-01-17,Landslide / mudflow,0,0,13,2,0,2
Southern,24,Zabul,2401,Qalat,2017-01-20,Heavy snowfall,0,0,4025,575,0,0
Eastern,6,Nangarhar,603,Surkhrod,2017-01-22,Flood / flash flood,6,4,10,3,0,3
Southern,33,Kandahar,3301,Kandahar,2017-01-22,Flood / flash flood,0,0,164,20,10,10
Southern,33,Kandahar,3305,Daman,2017-01-23,Flood / flash flood,0,0,62,8,0,8
Southern,24,Zabul,2401,Qalat,2017-01-23,Flood / flash flood,0,0,218,33,33,0
Eastern,7,Laghman,701,Mehtarlam,2017-01-25,Flood / flash flood,0,0,11,1,1,0
Eastern,7,Laghman,701,Mehtarlam,2017-01-25,Flood / flash flood,0,0,9,1,1,0
Central Highland,10,Bamyan,1001,Bamyan,2017-01-25,Avalanche,0,0,0,0,0,0
South Eastern,11,Ghazni,1118,Gelan,2017-01-28,Heavy snowfall,2,0,14,2,0,0
Eastern,13,Kunar,1307,Dara-e-Pech,2017-01-29,Flood / flash flood,0,0,35,5,5,0
Eastern,13,Kunar,1301,Asadabad,2017-01-29,Flood / flash flood,0,0,21,3,3,0
Eastern,13,Kunar,1314,Nurgal,2017-01-29,Flood / flash flood,0,0,18,2,2,0
Eastern,13,Kunar,1301,Asadabad,2017-01-29,Flood / flash flood,0,0,23,3,3,0
Eastern,13,Kunar,1302,Watapur,2017-01-29,Flood / flash flood,0,0,21,3,3,0
Northern,28,Faryab,2807,Kohestan,2017-01-29,Heavy snowfall,0,0,0,0,0,0
North Eastern,15,Badakhshan,1506,Raghestan,2017-01-30,Avalanche,1,6,56,8,0,2
Western,29,Badghis,2901,Qala-e-Naw,2017-01-30,Avalanche,0,0,32,4,4,0
Central Highland,10,Bamyan,1003,Yakawlang,2017-02-02,Avalanche,3,0,3,0,0,0
Western,21,Ghor,2108,Lal Wa Sarjangal,2017-02-02,Avalanche,1,0,7,1,0,1
Western,21,Ghor,2101,Chaghcharan,2017-02-02,Heavy snowfall,0,0,0,0,0,0
Central Highland,10,Bamyan,1004,Panjab,2017-02-03,Flood / flash flood,0,0,7,1,0,0
Central Highland,10,Bamyan,1004,Panjab,2017-02-03,Flood / flash flood,0,0,0,0,0,0
Central Highland,10,Bamyan,1004,Panjab,2017-02-03,Flood / flash flood,0,0,14,2,0,0
Central Highland,10,Bamyan,1004,Panjab,2017-02-03,Flood / flash flood,0,0,7,1,0,0
