REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Individuals_affected,Families_affected,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +individual +num,#affected +family +num,#damaged+houses+num,#destroyed+houses+num
Northern,27,Jawzjan,2709,Qarqin,23/05/17,Flood / flash flood,0,0,0,0,56,0
South Eastern,25,Paktika,2505,Zarghunshahr,02/01/18,Flood / flash flood,0,0,1120,160,160,0
South Eastern,25,Paktika,2512,Janikhel,03/01/18,Flood / flash flood,0,0,980,140,140,0
North Eastern,15,Badakhshan,1506,Raghestan,28/01/18,Avalanche,1,2,3,0,0,0
North Eastern,15,Badakhshan,1505,Kohestan,28/01/18,Landslide / mudflow,4,4,8,0,0,0
Western,21,Ghor,2101,Chaghcharan,30/01/18,Drought,0,0,245,35,0,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,31/01/18,Earthquake,0,0,28,4,4,0
Eastern,13,Kunar,1309,Khaskunar,31/01/18,Earthquake,0,0,7,2,2,0
Eastern,13,Kunar,1311,Barkunar,31/01/18,Earthquake,0,0,42,6,6,0
Eastern,13,Kunar,1310,Dangam,31/01/18,Earthquake,0,0,35,5,5,0
South Eastern,12,Paktya,1201,Gardez,12/02/18,Flood / flash flood,0,0,420,60,60,0
South Eastern,12,Paktya,1208,Alikhel (Jaji),12/02/18,Flood / flash flood,0,0,280,40,40,0
Eastern,13,Kunar,1314,Nurgal,12/02/18,Flood / flash flood,0,0,31,3,3,0
South Eastern,12,Paktya,1206,Zadran,13/02/18,Flood / flash flood,0,0,210,30,30,0
South Eastern,12,Paktya,1202,Sayedkaram,13/02/18,Flood / flash flood,0,0,175,25,25,0
Capital,3,Parwan,303,Shinwari,14/02/18,Heavy snowfall,0,0,70,10,8,2
North Eastern,16,Takhar,1612,Khwajabahawuddin,15/02/18,Flood / flash flood,0,0,182,26,26,0
Northern,18,Balkh,1802,Nahr-e-Shahi,19/02/18,Flood / flash flood,0,0,133,19,19,0
Western,21,Ghor,2101,Chaghcharan,25/02/18,Drought,0,0,161,23,0,0
Western,30,Hirat,3007,Karukh,26/02/18,Flood / flash flood,0,0,168,26,0,26
Western,30,Hirat,3006,Pashtunzarghun,26/02/18,Flood / flash flood,0,0,0,0,0,0
Western,29,Badghis,2904,Qadis,26/02/18,Flood / flash flood,6,0,6,0,0,0
Southern,33,Kandahar,3301,Kandahar,26/02/18,Flood / flash flood,0,0,807,101,0,0
Western,21,Ghor,2101,Chaghcharan,01/03/18,Drought,0,0,245,35,0,0
Western,31,Farah,3101,Farah,01/03/18,Flood / flash flood,0,0,56,8,8,56
Western,31,Farah,3101,Farah,01/03/18,Flood / flash flood,0,0,1050,122,0,31
Eastern,13,Kunar,1314,Nurgal,03/03/18,Flood / flash flood,0,0,14,2,0,2
Western,21,Ghor,2108,Lal Wa Sarjangal,05/03/18,Flood / flash flood,0,0,14,2,0,2
Western,29,Badghis,2901,Qala-e-Naw,09/03/18,Landslide / mudflow,0,0,6,1,1,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,10/03/18,Flood / flash flood,0,3,21,3,2,1
Western,21,Ghor,2101,Chaghcharan,10/03/18,Drought,0,0,196,28,0,0
Western,29,Badghis,2901,Qala-e-Naw,15/03/18,Drought,0,0,70,12,0,0
South Eastern,12,Paktya,1201,Gardez,19/03/18,Flood / flash flood,0,0,77,11,11,0
Western,21,Ghor,2101,Chaghcharan,25/03/18,Drought,0,0,238,34,0,0
Western,21,Ghor,2101,Chaghcharan,25/03/18,Drought,0,0,238,34,0,0
Central Highland,10,Bamyan,1001,Bamyan,25/03/18,Flood / flash flood,0,0,7,1,0,1
Central Highland,10,Bamyan,1001,Bamyan,25/03/18,Flood / flash flood,0,0,7,1,0,1
Western,21,Ghor,2101,Chaghcharan,28/03/18,Drought,0,0,133,19,0,0
Western,21,Ghor,2101,Chaghcharan,28/03/18,Drought,0,0,133,19,0,0
Western,21,Ghor,2101,Chaghcharan,05/04/18,Drought,0,0,174,29,0,0
Western,21,Ghor,2101,Chaghcharan,05/04/18,Drought,0,0,174,29,0,0
Western,30,Hirat,3002,Injil,06/04/18,Drought,0,0,252,36,0,0
Western,30,Hirat,3002,Injil,06/04/18,Drought,0,0,168,24,0,0
Eastern,13,Kunar,1301,Asadabad,08/04/18,Flood / flash flood,0,0,16,2,0,2
