ISO3 Country Code,Country Name,Population,Tier,Grid Expenditure ($m/yr),Grid CO2 Emissions (t/yr),Offgrid Type,Lighting Type Description,Offgrid Expenditure ($m/yr),Offgrid Capital Costs ($m),Offgrid CO2 Emissions (t/yr),Nonsolid Expenditure ($m/yr),Nonsolid CO2 Emissions (t/yr),Solid Type,Cooking Type Description,Solid Expenditure ($m/yr),Solid Capital Costs ($m),Solid CO2_Emissions (t/yr),Info
#country+code,#country+name,#population+num,#indicator+tier,#indicator+value+grid+expenditure,#indicator+value+grid+co2_emissions,#indicator+type+offgrid,#indicator+text+lighting,#indicator+value+offgrid+expenditure,#indicator+value+offgrid+capital_costs,#indicator+value+offgrid+co2_emissions,#indicator+value+nonsolid+expenditure,#indicator+value+nonsolid+co2_emissions,#indicator+type+solid,#indicator+text+cooking,#indicator+value+solid+expenditure,#indicator+value+solid+capital_costs,#indicator+value+solid+co2_emissions,#meta+info
AFG,Afghanistan,451316,Baseline,0.6934471076574069,1386.894215314814,1,Torch dependent,0.3731009312540767,0.016414560585594172,108.65079858021116,0.48742133177351094,801.5373011386625,1,Firewood dependent,8.292190759239094,0.12751636205700484,227572.7214692064,
AFG,Afghanistan,451316,Target 1,0.6934471076574069,1386.894215314814,1,Solar dependent,0.09475711581011302,0.4845654808004268,230.33383053652202,0.48742133177351094,801.5373011386625,1,Firewood dependent,3.3475272292445544,4.306260720270337,88570.84288429677,
AFG,Afghanistan,451316,Target 2,0.6934471076574069,1386.894215314814,3,Solar dependent,0.018094033886868574,1.9532258274742884,69.1001491609566,0.48742133177351094,801.5373011386625,7,LPG II,6.934368403184112,4.287502455415142,97456.5975421507,
AFG,Afghanistan,451316,Target 3,0.6934471076574069,1386.894215314814,7,,0.10174616157746406,5.608582392295799,388.5631576476627,0.48742133177351094,801.5373011386625,8,,22.716724563919392,6.859663760791917,20147.880045574617,
AGO,Angola,7458,Baseline,0.0010359340257641676,1.6367757607073845,1,Torch dependent,0.04901978964715177,0.0021566236898730947,14.275062979593708,0.014517792431945767,23.873703110310817,1,Firewood dependent,0.12837158171924035,0.001974083516361739,3523.05814704085,
AGO,Angola,7458,Target 1,0.0010359340257641676,1.6367757607073845,1,Solar dependent,0.01244964430662162,0.06366453672272453,30.262363279479594,0.014517792431945767,23.873703110310817,1,Firewood dependent,0.05182314031880545,0.06666531390882573,1371.167104735881,
AGO,Angola,7458,Target 2,0.0010359340257641676,1.6367757607073845,3,Solar dependent,0.0023772809465295113,0.2566241763973818,9.078708983843878,0.014517792431945767,23.873703110310817,7,LPG II,0.1073511049114301,0.06637491681116046,1508.7276618090382,
AGO,Angola,7458,Target 3,0.0010359340257641676,1.6367757607073845,7,,0.013367898657256187,0.7368824520618381,51.05129110372162,0.014517792431945767,23.873703110310817,8,,0.3516780967082149,0.1061946007517819,311.909760018264,
ALB,Albania,956,Baseline,0.0345703345482807,0.9679693673518596,1,Torch dependent,0.0,0.0,0.0,0.010318493444876719,16.968189220463934,1,Firewood dependent,0.009432250620248661,0.0001450480723401019,258.86077703144474,"ur(001)=0.531,elap(039)=723,lpg(039)=723"
ALB,Albania,956,Target 1,0.0345703345482807,0.9679693673518596,1,Solar dependent,0.0,0.0,0.0,0.010318493444876719,16.968189220463934,1,Firewood dependent,0.0038077652457718636,0.004898311137435709,100.74809082274594,"ur(001)=0.531,elap(039)=723,lpg(039)=723"
ALB,Albania,956,Target 2,0.0345703345482807,0.9679693673518596,3,Solar dependent,0.0,0.0,0.0,0.010318493444876719,16.968189220463934,7,LPG II,0.007887746745224163,0.0048769738744068696,110.85551204789525,"ur(001)=0.531,elap(039)=723,lpg(039)=723"
ALB,Albania,956,Target 3,0.0345703345482807,0.9679693673518596,7,,0.0,0.0,0.0,0.010318493444876719,16.968189220463934,8,,0.025839955396504705,0.007802771262869981,22.917930806744387,"ur(001)=0.531,elap(039)=723,lpg(039)=723"
ARE,United Arab Emirates,63,Baseline,0.005047225720180735,10.094451440361471,1,Torch dependent,0.0,0.0,0.0,0.002275292127392781,3.7415914983792398,1,Firewood dependent,6.11844940548286e-05,9.408881588351339e-07,1.6791608186606053,ur(145)=0.274
ARE,United Arab Emirates,63,Target 1,0.005047225720180735,10.094451440361471,1,Solar dependent,0.0,0.0,0.0,0.002275292127392781,3.7415914983792398,1,Firewood dependent,2.4699957562829226e-05,3.1774037897567535e-05,0.6535259941828311,ur(145)=0.274
ARE,United Arab Emirates,63,Target 2,0.005047225720180735,10.094451440361471,3,Solar dependent,0.0,0.0,0.0,0.002275292127392781,3.7415914983792398,7,LPG II,5.116570935924077e-05,3.163562876325852e-05,0.7190901398738085,ur(145)=0.274
