ISO3 Country Code,Country Name,Population,Tier,Grid Expenditure ($m/yr),Grid CO2 Emissions (t/yr),Offgrid Type,Lighting Type Description,Offgrid Expenditure ($m/yr),Offgrid Capital Costs ($m),Offgrid CO2 Emissions (t/yr),Nonsolid Expenditure ($m/yr),Nonsolid CO2 Emissions (t/yr),Solid Type,Cooking Type Description,Solid Expenditure ($m/yr),Solid Capital Costs ($m),Solid CO2_Emissions (t/yr),Info
#country+code,#country+name,#population+num,#indicator+tier,#indicator+value+grid+expenditure,#indicator+value+grid+co2_emissions,#indicator+type+offgrid,#indicator+text+lighting,#indicator+value+offgrid+expenditure,#indicator+value+offgrid+capital_costs,#indicator+value+offgrid+co2_emissions,#indicator+value+nonsolid+expenditure,#indicator+value+nonsolid+co2_emissions,#indicator+type+solid,#indicator+text+cooking,#indicator+value+solid+expenditure,#indicator+value+solid+capital_costs,#indicator+value+solid+co2_emissions,#meta+info
AFG,Afghanistan,1030084,Baseline,1.6809680809932062,3361.9361619864126,1,Torch dependent,0.4711531255245888,0.020728362960715382,137.2045981492031,14.684875350525715,24148.461687531173,1,Firewood dependent,6.773550879959821,0.10416289150826992,185894.83195922553,
AFG,Afghanistan,1030084,Target 1,1.6809680809932062,3361.9361619864126,1,Solar dependent,0.11965960827159519,0.61191093796808,290.8663449500504,14.684875350525715,24148.461687531173,1,Firewood dependent,2.7344578372217256,3.5176079443932275,72349.8925889113,
AFG,Afghanistan,1030084,Target 2,1.6809680809932062,3361.9361619864126,3,Solar dependent,0.02284920756024729,2.4665402211048675,87.25990348501513,14.684875350525715,24148.461687531173,7,LPG II,5.664401430589302,3.5022850864048425,79608.3014978902,
AFG,Afghanistan,1030084,Target 3,1.6809680809932062,3361.9361619864126,7,,0.1284853990479774,7.082536929110032,490.67887762716344,14.684875350525715,24148.461687531173,8,,18.55636153670212,5.603378269050364,16457.97770148619,
AGO,Angola,33078,Baseline,0.041351974631981196,65.33611991853029,1,Torch dependent,0.16362294853484124,0.007198585093023304,47.64867234344391,0.49170976037870506,808.5893837338705,1,Firewood dependent,0.10235769884806475,0.001574044997829909,2809.1273785791473,
AGO,Angola,33078,Target 1,0.041351974631981196,65.33611991853029,1,Solar dependent,0.041555615075508354,0.21250558785868084,101.01261439641176,0.49170976037870506,808.5893837338705,1,Firewood dependent,0.04132143048384869,0.05315590906728346,1093.3066937188996,
AGO,Angola,33078,Target 2,0.041351974631981196,65.33611991853029,3,Solar dependent,0.007935116016750551,0.8565847530091261,30.303784318923533,0.49170976037870506,808.5893837338705,7,LPG II,0.08559692044274511,0.05292435954307348,1202.991266314268,
AGO,Angola,33078,Target 3,0.041351974631981196,65.33611991853029,7,,0.04462065238874994,2.4596368201051098,170.40388865452405,0.49170976037870506,808.5893837338705,8,,0.2804122238911763,0.08467477628198604,248.70274912984502,
ALB,Albania,3616,Baseline,0.13071775526670007,3.660097147467602,1,Torch dependent,0.0,0.0,0.0,0.07086653820988126,116.53608505624916,1,Firewood dependent,0.007692523643736077,0.0001182947496708012,211.1153242128108,"ur(001)=0.531,elap(039)=723,lpg(039)=723"
ALB,Albania,3616,Target 1,0.13071775526670007,3.660097147467602,1,Solar dependent,0.0,0.0,0.0,0.07086653820988126,116.53608505624916,1,Firewood dependent,0.003105443797264621,0.003994844470969601,82.16565716049766,"ur(001)=0.531,elap(039)=723,lpg(039)=723"
ALB,Albania,3616,Target 2,0.13071775526670007,3.660097147467602,3,Solar dependent,0.0,0.0,0.0,0.07086653820988126,116.53608505624916,7,LPG II,0.0064328950508568605,0.003977442749264963,90.40881988825087,"ur(001)=0.531,elap(039)=723,lpg(039)=723"
ALB,Albania,3616,Target 3,0.13071775526670007,3.660097147467602,7,,0.0,0.0,0.0,0.07086653820988126,116.53608505624916,8,,0.021073917121538256,0.00636359283090268,18.690843966542207,"ur(001)=0.531,elap(039)=723,lpg(039)=723"
ARE,United Arab Emirates,396,Baseline,0.03157043083851483,63.14086167702966,1,Torch dependent,0.0,0.0,0.0,0.014231967565480478,23.4036799965679,1,Firewood dependent,0.0003827094219749542,5.885261764004983e-06,10.503162218465306,ur(145)=0.274
ARE,United Arab Emirates,396,Target 1,0.03157043083851483,63.14086167702966,1,Solar dependent,0.0,0.0,0.0,0.014231967565480478,23.4036799965679,1,Firewood dependent,0.00015449840074194842,0.00019874682083162034,4.087809490672417,ur(145)=0.274
ARE,United Arab Emirates,396,Target 2,0.03157043083851483,63.14086167702966,3,Solar dependent,0.0,0.0,0.0,0.014231967565480478,23.4036799965679,7,LPG II,0.00032004185629558513,0.00019788107076527196,4.497913663098691,ur(145)=0.274
ARE,United Arab Emirates,396,Target 3,0.03157043083851483,63.14086167702966,7,,0.0,0.0,0.0,0.014231967565480478,23.4036799965679,8,,0.0010484448295325517,0.0003165940134590093,0.9298849664874482,ur(145)=0.274
ARG,Argentina,2222,Baseline,0.041559583356791795,64.16799670288653,1,Torch dependent,0.0007448402089562303,3.2769215277494904e-05,0.21690506975077814,0.06968200934834111,114.58819315060536,1,Firewood dependent,0.0021489424907431744,3.3046192091513514e-05,58.97605410902466,elac(005)=393
ARG,Argentina,2222,Target 1,0.041559583356791795,64.16799670288653,1,Solar dependent,0.00018916841001404797,0.0009673625116914594,0.4598270443599635,0.06968200934834111,114.58819315060536,1,Firewood dependent,0.0008675202622212096,0.0011159785039552548,22.953360968322492,elac(005)=393
ARG,Argentina,2222,Target 2,0.041559583356791795,64.16799670288653,3,Solar dependent,3.612203254453561e-05,0.0038993232436719057,0.13794811330798906,0.06968200934834111,114.58819315060536,7,LPG II,0.0017970593466468475,0.0011111172515347134,25.25612706488219,elac(005)=393
ARG,Argentina,2222,Target 3,0.041559583356791795,64.16799670288653,7,,0.00020312099461966874,0.011196695936899224,0.7757082314487401,0.06968200934834111,114.58819315060536,8,,0.005887097400831516,0.0017776994470794754,5.2213747591480635,elac(005)=393
ARM,Armenia,2232,Baseline,0.03149957026006236,19.78173012331916,1,Torch dependent,0.0,0.0,0.0,0.04579766643312107,75.31171813446576,1,Firewood dependent,0.0021582457783034764,3.318925698465265e-05,59.231375595249474,
ARM,Armenia,2232,Target 1,0.03149957026006236,19.78173012331916,1,Solar dependent,0.0,0.0,0.0,0.04579766643312107,75.31171813446576,1,Firewood dependent,0.0008712759655490549,0.0011208098426151462,23.052731574322216,
ARM,Armenia,2232,Target 2,0.03149957026006236,19.78173012331916,3,Solar dependent,0.0,0.0,0.0,0.04579766643312107,75.31171813446576,7,LPG II,0.001804839247661789,0.0011159275446666925,25.36546689773312,
ARM,Armenia,2232,Target 3,0.03149957026006236,19.78173012331916,7,,0.0,0.0,0.0,0.04579766643312107,75.31171813446576,8,,0.005912584057757593,0.0017853955344448707,5.2439793430555905,
AUS,Australia,36925,Baseline,2.1724992113644475,6978.067466902606,1,Torch dependent,0.0,0.0,0.0,0.6781491154566994,1115.1785454176834,1,Firewood dependent,0.035706824683991244,0.0005490954702455053,979.9460123738601,ur(001)=0.531
AUS,Australia,36925,Target 1,2.1724992113644475,6978.067466902606,1,Solar dependent,0.0,0.0,0.0,0.6781491154566994,1115.1785454176834,1,Firewood dependent,0.01441471516635617,0.018543096878340545,381.39300587835504,ur(001)=0.531
AUS,Australia,36925,Target 2,2.1724992113644475,6978.067466902606,3,Solar dependent,0.0,0.0,0.0,0.6781491154566994,1115.1785454176834,7,LPG II,0.02985993497446071,0.018462322316586278,419.6557633287232,ur(001)=0.531
AUS,Australia,36925,Target 3,2.1724992113644475,6978.067466902606,7,,0.0,0.0,0.0,0.6781491154566994,1115.1785454176834,8,,0.09782000016034592,0.029538250916962844,86.758353905432,ur(001)=0.531
AUT,Austria,81460,Baseline,3.573344628093862,2629.9816462770823,1,Torch dependent,0.0,0.0,0.0,0.8326063737619497,1369.174925741873,1,Firewood dependent,0.07877303325700302,0.001211362705077254,2161.8645876792943,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
AUT,Austria,81460,Target 1,3.573344628093862,2629.9816462770823,1,Solar dependent,0.0,0.0,0.0,0.8326063737619497,1369.174925741873,1,Firewood dependent,0.03180038682349386,0.04090803368859161,841.3933247196208,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
AUT,Austria,81460,Target 2,3.573344628093862,2629.9816462770823,3,Solar dependent,0.0,0.0,0.0,0.8326063737619497,1369.174925741873,7,LPG II,0.06587417592048461,0.04072983645891072,925.8050160928335,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
AUT,Austria,81460,Target 3,3.573344628093862,2629.9816462770823,7,,0.0,0.0,0.0,0.8326063737619497,1369.174925741873,8,,0.21580127031809915,0.06516450685347042,191.39810828879104,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
AZE,Azerbaijan,146101,Baseline,2.2966361340362793,4400.35483281351,1,Torch dependent,0.0,0.0,0.0,1.9115216550982008,3143.391166161486,1,Firewood dependent,0.141282327737727,0.002172623493494447,3877.3835229194847,ur(145)=0.274
AZE,Azerbaijan,146101,Target 1,2.2966361340362793,4400.35483281351,1,Solar dependent,0.0,0.0,0.0,1.9115216550982008,3143.391166161486,1,Firewood dependent,0.057035161496512984,0.0733700605871206,1509.0698243336358,ur(145)=0.274
AZE,Azerbaijan,146101,Target 2,2.2966361340362793,4400.35483281351,3,Solar dependent,0.0,0.0,0.0,1.9115216550982008,3143.391166161486,7,LPG II,0.11814775345118757,0.0730504573121827,1660.465292457569,ur(145)=0.274
AZE,Azerbaijan,146101,Target 3,2.2966361340362793,4400.35483281351,7,,0.0,0.0,0.0,1.9115216550982008,3143.391166161486,8,,0.3870475026628355,0.11687493592003946,343.2795354650628,ur(145)=0.274
BDI,Burundi,12568,Baseline,0.005949193028778159,11.898386057556317,1,Torch dependent,0.062124622726740415,0.0027331702983899187,18.091324103820313,0.013573020271624847,22.320077780005303,1,Firewood dependent,0.23090920715720925,0.0035508954047333715,6337.123470840753,
BDI,Burundi,12568,Target 1,0.005949193028778159,11.898386057556317,1,Solar dependent,0.015777902377757735,0.08068446138674484,38.352630949457165,0.013573020271624847,22.320077780005303,1,Firewood dependent,0.09321720651213757,0.11991466158951461,2466.3956367467126,
BDI,Burundi,12568,Target 2,0.005949193028778159,11.898386057556317,3,Solar dependent,0.0030128175371963357,0.3252294686697856,11.505789284837151,0.013573020271624847,22.320077780005303,7,LPG II,0.1930984894831551,0.11939230794484817,2713.8335723432174,
BDI,Burundi,12568,Target 3,0.005949193028778159,11.898386057556317,7,,0.016941640645730394,0.9338788407256452,64.6992209138536,0.013573020271624847,22.320077780005303,8,,0.6325832353071269,0.19101822019768014,561.0496842512458,
BEL,Belgium,36351,Baseline,1.5946022714327386,1320.3306807463073,1,Torch dependent,0.0,0.0,0.0,0.3715499491350226,610.9932496887038,1,Firewood dependent,0.0351524050525933,0.00054056966850004,964.7303971020326,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
BEL,Belgium,36351,Target 1,1.5946022714327386,1320.3306807463073,1,Solar dependent,0.0,0.0,0.0,0.3715499491350226,610.9932496887038,1,Firewood dependent,0.014190897979026697,0.0182551783353939,375.4711191911965,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
BEL,Belgium,36351,Target 2,1.5946022714327386,1320.3306807463073,3,Solar dependent,0.0,0.0,0.0,0.3715499491350226,610.9932496887038,7,LPG II,0.029396299961025052,0.018175657959727323,413.13977105895833,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
BEL,Belgium,36351,Target 3,1.5946022714327386,1320.3306807463073,7,,0.0,0.0,0.0,0.3715499491350226,610.9932496887038,8,,0.09630114966293497,0.02907961068976659,85.41125751647454,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
BEN,Benin,686,Baseline,0.0014430516157553938,4.184849685690642,1,Torch dependent,0.0029369897014965497,0.00012921274474560698,0.8552813723001647,0.0014816950128659014,2.436565132268371,1,Firewood dependent,0.011406382189912065,0.00017540604206057434,313.0392814690105,"elap(011)=114,lpg(011)=114"
BEN,Benin,686,Target 1,0.0014430516157553938,4.184849685690642,1,Solar dependent,0.0007459125667212523,0.0038144204626560482,1.8131503609979933,0.0014816950128659014,2.436565132268371,1,Firewood dependent,0.004604714975395057,0.005923507672575141,121.83425516294403,"elap(011)=114,lpg(011)=114"
BEN,Benin,686,Target 2,0.0014430516157553938,4.184849685690642,3,Solar dependent,0.00014243328475659477,0.015375475265384724,0.543945108299398,0.0014816950128659014,2.436565132268371,7,LPG II,0.009538619955678177,0.005897704607453955,134.05711841055384,"elap(011)=114,lpg(011)=114"
