ISO3 Country Code,Country Name,Population,Tier,Grid Expenditure ($m/yr),Grid CO2 Emissions (t/yr),Offgrid Type,Lighting Type Description,Offgrid Expenditure ($m/yr),Offgrid Capital Costs ($m),Offgrid CO2 Emissions (t/yr),Nonsolid Expenditure ($m/yr),Nonsolid CO2 Emissions (t/yr),Solid Type,Cooking Type Description,Solid Expenditure ($m/yr),Solid Capital Costs ($m),Solid CO2_Emissions (t/yr),Info
#country+code,#country+name,#population+num,#indicator+tier,#indicator+value+grid+expenditure,#indicator+value+grid+co2_emissions,#indicator+type+offgrid,#indicator+text+lighting,#indicator+value+offgrid+expenditure,#indicator+value+offgrid+capital_costs,#indicator+value+offgrid+co2_emissions,#indicator+value+nonsolid+expenditure,#indicator+value+nonsolid+co2_emissions,#indicator+type+solid,#indicator+text+cooking,#indicator+value+solid+expenditure,#indicator+value+solid+capital_costs,#indicator+value+solid+co2_emissions,#meta+info
AFG,Afghanistan,612793,Baseline,1.0584468873622295,2116.893774724459,1,Torch dependent,0.05398125124150834,0.0023749029947784076,15.719891226309588,8.735978478063942,14365.831275038481,2,Firewood/charcoal mix,3.482950668921701,0.24050767851060237,119483.3030012477,
AFG,Afghanistan,612793,Target 1,1.0584468873622295,2116.893774724459,1,Solar dependent,0.013709715647916983,0.07010824356328732,33.325321204153774,8.735978478063942,14365.831275038481,2,Firewood/charcoal mix,1.8198380762532909,2.103185520502008,66093.78016464974,
AFG,Afghanistan,612793,Target 2,1.0584468873622295,2116.893774724459,3,Solar dependent,0.002617893731694474,0.28259799237137534,9.997596361246133,8.735978478063942,14365.831275038481,7,LPG II,3.36973163255153,2.0834965506044756,47358.6865370224,
AFG,Afghanistan,612793,Target 3,1.0584468873622295,2116.893774724459,7,,0.014720909681224973,0.8114648607538456,56.21836795118723,8.735978478063942,14365.831275038481,8,,11.039111408596316,3.333429177600934,9790.790562447126,
AGO,Angola,5162,Baseline,0.012190466510006024,19.260937085809516,1,Torch dependent,0.017140958184463942,0.0007541157714838734,4.991621942384697,0.07674082965448004,126.19603098736717,2,Firewood/charcoal mix,0.013807905615606597,0.0009534752686380092,473.68289915886885,
AGO,Angola,5162,Target 1,0.012190466510006024,19.260937085809516,1,Solar dependent,0.0043533200368119085,0.022261849135880512,10.581969185719602,0.07674082965448004,126.19603098736717,2,Firewood/charcoal mix,0.007214616220898712,0.008337926637414287,262.0240035081161,
AGO,Angola,5162,Target 2,0.012190466510006024,19.260937085809516,3,Solar dependent,0.0008312739322322422,0.0897348664368576,3.174590755715881,0.07674082965448004,126.19603098736717,7,LPG II,0.01335905694771167,0.008259871142560604,187.75008202592628,
AGO,Angola,5162,Target 3,0.012190466510006024,19.260937085809516,7,,0.004674409938262429,0.25766881882960346,17.85132193284785,0.07674082965448004,126.19603098736717,8,,0.04376375748590615,0.01321513849487644,38.81487992199895,
ALB,Albania,3196,Baseline,0.11553482722369036,3.2349751622633303,1,Torch dependent,0.0,0.0,0.0,0.06263535685198103,103.00036460103547,2,Firewood/charcoal mix,0.00587674454096673,0.0004058059734694273,201.6028693471689,"ur(001)=0.531,elap(039)=723,lpg(039)=723"
ALB,Albania,3196,Target 1,0.11553482722369036,3.2349751622633303,1,Solar dependent,0.0,0.0,0.0,0.06263535685198103,103.00036460103547,2,Firewood/charcoal mix,0.003070592866988823,0.003548681908284675,111.51931184104647,"ur(001)=0.531,elap(039)=723,lpg(039)=723"
ALB,Albania,3196,Target 2,0.11553482722369036,3.2349751622633303,3,Solar dependent,0.0,0.0,0.0,0.06263535685198103,103.00036460103547,7,LPG II,0.005685711300140525,0.003515460924882575,79.9077934284856,"ur(001)=0.531,elap(039)=723,lpg(039)=723"
ALB,Albania,3196,Target 3,0.11553482722369036,3.2349751622633303,7,,0.0,0.0,0.0,0.06263535685198103,103.00036460103547,8,,0.018626171850914138,0.005624458565251617,16.519893750726915,"ur(001)=0.531,elap(039)=723,lpg(039)=723"
ARE,United Arab Emirates,1048,Baseline,0.08359757951630442,167.19515903260884,1,Torch dependent,0.0,0.0,0.0,0.03768583477097361,61.97226162337882,2,Firewood/charcoal mix,0.0008759352091806558,6.0485824724861863e-05,30.049128442119315,ur(145)=0.274
ARE,United Arab Emirates,1048,Target 1,0.08359757951630442,167.19515903260884,1,Solar dependent,0.0,0.0,0.0,0.03768583477097361,61.97226162337882,2,Firewood/charcoal mix,0.00045767522928809074,0.0005289349244263062,16.62207554951857,ur(145)=0.274
ARE,United Arab Emirates,1048,Target 2,0.08359757951630442,167.19515903260884,3,Solar dependent,0.0,0.0,0.0,0.03768583477097361,61.97226162337882,7,LPG II,0.0008474614954438944,0.0005239833004714696,11.910344113823104,ur(145)=0.274
ARE,United Arab Emirates,1048,Target 3,0.08359757951630442,167.19515903260884,7,,0.0,0.0,0.0,0.03768583477097361,61.97226162337882,8,,0.002776251311033069,0.0008383317082336821,2.4623082537129988,ur(145)=0.274
ARG,Argentina,5064,Baseline,0.09888707495751545,152.68164373440385,1,Torch dependent,0.0002556606657286771,1.124778078910479e-05,0.07445099481151637,0.15878359507244938,261.1108007858057,2,Firewood/charcoal mix,0.004232523649373965,0.0002922678309042222,145.19755050526243,elac(005)=393
ARG,Argentina,5064,Target 1,0.09888707495751545,152.68164373440385,1,Solar dependent,6.493059995619657e-05,0.0003320397325039376,0.1578320918601569,0.15878359507244938,261.1108007858057,2,Firewood/charcoal mix,0.002211489173390424,0.0025558164041701963,80.31795859744713,elac(005)=393
ARG,Argentina,5064,Target 2,0.09888707495751545,152.68164373440385,3,Solar dependent,1.2398609496055814e-05,0.001338412674801027,0.04734962755804707,0.15878359507244938,261.1108007858057,7,LPG II,0.004094938511211663,0.00253189013054631,57.550846918337996,elac(005)=393
ARG,Argentina,5064,Target 3,0.09888707495751545,152.68164373440385,7,,6.97197171735759e-05,0.0038431796548693636,0.2662558767353731,0.15878359507244938,261.1108007858057,8,,0.013414861290419336,0.004050823330230273,11.897886746255402,elac(005)=393
ARM,Armenia,13267,Baseline,0.1872474454348151,117.59139573306388,1,Torch dependent,0.0,0.0,0.0,0.2722416837968863,447.6863244659908,2,Firewood/charcoal mix,0.011089240632878498,0.000765743696819212,380.4185659058371,
ARM,Armenia,13267,Target 1,0.1872474454348151,117.59139573306388,1,Solar dependent,0.0,0.0,0.0,0.2722416837968863,447.6863244659908,2,Firewood/charcoal mix,0.005794116615121404,0.006696256292269894,210.43359560682015,
ARM,Armenia,13267,Target 2,0.1872474454348151,117.59139573306388,3,Solar dependent,0.0,0.0,0.0,0.2722416837968863,447.6863244659908,7,LPG II,0.010728766638878421,0.006633569293296455,150.78360878096922,
ARM,Armenia,13267,Target 3,0.1872474454348151,117.59139573306388,7,,0.0,0.0,0.0,0.2722416837968863,447.6863244659908,8,,0.03514702745444795,0.010613184565866738,31.17254387260826,
AUS,Australia,32636,Baseline,1.920162418001193,6167.561686619832,1,Torch dependent,0.0,0.0,0.0,0.5993817804347469,985.6500389371394,2,Firewood/charcoal mix,0.027278419509021747,0.0018836526764774097,935.7915093872563,ur(001)=0.531
AUS,Australia,32636,Target 1,1.920162418001193,6167.561686619832,1,Solar dependent,0.0,0.0,0.0,0.5993817804347469,985.6500389371394,2,Firewood/charcoal mix,0.014252945620357385,0.016472118725504633,517.645534964339,ur(001)=0.531
AUS,Australia,32636,Target 2,1.920162418001193,6167.561686619832,3,Solar dependent,0.0,0.0,0.0,0.5993817804347469,985.6500389371394,7,LPG II,0.02639168964572774,0.016317914996649734,370.91255132623286,ur(001)=0.531
AUS,Australia,32636,Target 3,1.920162418001193,6167.561686619832,7,,0.0,0.0,0.0,0.5993817804347469,985.6500389371394,8,,0.08645816166662677,0.026107369341054492,76.68133076661954,ur(001)=0.531
AUT,Austria,71998,Baseline,3.1582989883448334,2324.508055421797,1,Torch dependent,0.0,0.0,0.0,0.7358987563829101,1210.1446216074523,2,Firewood/charcoal mix,0.06017907966333526,0.0041555371064771,2064.45508226983,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
AUT,Austria,71998,Target 1,3.1582989883448334,2324.508055421797,1,Solar dependent,0.0,0.0,0.0,0.7358987563829101,1210.1446216074523,2,Firewood/charcoal mix,0.03144350608879657,0.03633923676106734,1141.9808202482586,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
AUT,Austria,71998,Target 2,3.1582989883448334,2324.508055421797,3,Solar dependent,0.0,0.0,0.0,0.7358987563829101,1210.1446216074523,7,LPG II,0.058222859763374414,0.0359990470194999,818.2723330803697,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
AUT,Austria,71998,Target 3,3.1582989883448334,2324.508055421797,7,,0.0,0.0,0.0,0.7358987563829101,1210.1446216074523,8,,0.19073585244778132,0.057595619088408746,169.1671290328523,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
AZE,Azerbaijan,386871,Baseline,6.081425458435329,11652.011178362089,1,Torch dependent,0.0,0.0,0.0,5.061653557298338,8323.608072001713,2,Firewood/charcoal mix,0.32336325732940735,0.022329155284877975,11093.03970329319,ur(145)=0.274
AZE,Azerbaijan,386871,Target 1,6.081425458435329,11652.011178362089,1,Solar dependent,0.0,0.0,0.0,5.061653557298338,8323.608072001713,2,Firewood/charcoal mix,0.1689569632439074,0.1952634376208741,6136.262633278018,ur(145)=0.274
AZE,Azerbaijan,386871,Target 2,6.081425458435329,11652.011178362089,3,Solar dependent,0.0,0.0,0.0,5.061653557298338,8323.608072001713,7,LPG II,0.31285180314229144,0.19343547907516842,4396.8636357962105,ur(145)=0.274
AZE,Azerbaijan,386871,Target 3,6.081425458435329,11652.011178362089,7,,0.0,0.0,0.0,5.061653557298338,8323.608072001713,8,,1.0248904915472332,0.30948141946542096,908.9941917216674,ur(145)=0.274
BDI,Burundi,6978,Baseline,0.006361884165741406,12.723768331482812,1,Torch dependent,0.022648071358747798,0.0009964009958792187,6.595349497409408,0.007535875951741945,12.392329342864532,2,Firewood/charcoal mix,0.11081234060885327,0.007651908201850155,3801.4389888973565,
BDI,Burundi,6978,Target 1,0.006361884165741406,12.723768331482812,1,Solar dependent,0.005751971493084071,0.02941422191112285,13.98178507030428,0.007535875951741945,12.392329342864532,2,Firewood/charcoal mix,0.0578993318964155,0.06691421510532918,2102.8165988923706,
BDI,Burundi,6978,Target 2,0.006361884165741406,12.723768331482812,3,Solar dependent,0.0010983488281843376,0.11856523051737505,4.194535521091284,0.007535875951741945,12.392329342864532,7,LPG II,0.10721020333668177,0.06628779772365599,1506.7474110832484,
BDI,Burundi,6978,Target 3,0.006361884165741406,12.723768331482812,7,,0.0061762223968180215,0.3404536510138871,23.58666351275284,0.007535875951741945,12.392329342864532,8,,0.3512165085608776,0.10605521712375088,311.5003690166326,
BEL,Belgium,32129,Baseline,1.409388476298431,1166.973658375101,1,Torch dependent,0.0,0.0,0.0,0.3283942498148243,540.0260996954889,2,Firewood/charcoal mix,0.026854867669194094,0.001854405213791588,921.2614807921248,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
BEL,Belgium,32129,Target 1,1.409388476298431,1166.973658375101,1,Solar dependent,0.0,0.0,0.0,0.3283942498148243,540.0260996954889,2,Firewood/charcoal mix,0.01403164022770187,0.016216356246679945,509.6080561565874,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
BEL,Belgium,32129,Target 2,1.409388476298431,1166.973658375101,3,Solar dependent,0.0,0.0,0.0,0.3283942498148243,540.0260996954889,7,LPG II,0.025981906054639865,0.016064546838106073,365.1533945877921,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
BEL,Belgium,32129,Target 3,1.409388476298431,1166.973658375101,7,,0.0,0.0,0.0,0.3283942498148243,540.0260996954889,8,,0.0851157263605818,0.02570200038946231,75.49070024948514,"ur(001)=0.531,elap(155)=877,lpg(155)=877"
BEN,Benin,179,Baseline,0.0005895784509634816,1.7097775077940969,1,Torch dependent,0.0005143809118457106,2.2630167695332804e-05,0.14979297065435293,0.00038677284699021664,0.6360264594950229,2,Firewood/charcoal mix,0.002573562456366936,0.0001777118284809017,88.28656274420483,"elap(011)=114,lpg(011)=114"
BEN,Benin,179,Target 1,0.0005895784509634816,1.7097775077940969,1,Solar dependent,0.0001306382470567553,0.000668053100337458,0.31755301543219344,0.00038677284699021664,0.6360264594950229,2,Firewood/charcoal mix,0.0013446836877429762,0.0015540499446735634,48.83688785743641,"elap(011)=114,lpg(011)=114"
BEN,Benin,179,Target 2,0.0005895784509634816,1.7097775077940969,3,Solar dependent,2.4945597477902168e-05,0.0026928426010618253,0.09526590462965805,0.00038677284699021664,0.6360264594950229,7,LPG II,0.0024899045785944317,0.0015395017071159766,34.99347227110297,"elap(011)=114,lpg(011)=114"
BEN,Benin,179,Target 3,0.0005895784509634816,1.7097775077940969,7,,0.00014027379452820682,0.007732351981577606,0.5356981304459542,0.00038677284699021664,0.6360264594950229,8,,0.00815683177092224,0.0024630805882438216,7.2344438393859125,"elap(011)=114,lpg(011)=114"
BFA,Burkina Faso,1826,Baseline,0.001853371830650822,3.706743661301644,1,Torch dependent,0.0051967464964818725,0.0002286306547875814,1.5133456112366657,0.00907147906864363,14.917543357325082,2,Firewood/charcoal mix,0.023503999996274196,0.0016230182429104606,806.3093107676996,
